id,by,author,time,time_ts,text,parent,deleted,dead,ranking,fake_time,fake_time_two_days,fake_time_2
1741429,,,1285799845,2010-09-29 22:37:25.000000 UTC,,1741378,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
6192653,,,1376168281,2013-08-10 20:58:01.000000 UTC,,6191210,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
2289697,,,1299271370,2011-03-04 20:42:50.000000 UTC,,2289459,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
2613243,,,1307039027,2011-06-02 18:23:47.000000 UTC,,2611617,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
3931905,,,1336217495,2012-05-05 11:31:35.000000 UTC,,3931057,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
7117210,,,1390591576,2014-01-24 19:26:16.000000 UTC,,7117172,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
4386091,,,1345040928,2012-08-15 14:28:48.000000 UTC,,4386014,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
7965562,,,1404142529,2014-06-30 15:35:29.000000 UTC,,7965385,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
7537696,,,1396718507,2014-04-05 17:21:47.000000 UTC,,7537662,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
1305211,,,1272561888,2010-04-29 17:24:48.000000 UTC,,1305192,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
1953312,,,1291098379,2010-11-30 06:26:19.000000 UTC,,1952851,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
425353,,,1231439272,2009-01-08 18:27:52.000000 UTC,,425350,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
6664971,,,1383511544,2013-11-03 20:45:44.000000 UTC,,6664965,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
2237639,,,1298069525,2011-02-18 22:52:05.000000 UTC,,2237631,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
1143068,,,1266857483,2010-02-22 16:51:23.000000 UTC,,1142940,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
10088792,,,1440021280,2015-08-19 21:54:40.000000 UTC,,10088628,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
1604609,,,1281846989,2010-08-15 04:36:29.000000 UTC,,1604581,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
1384580,,,1274986296,2010-05-27 18:51:36.000000 UTC,,1384568,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
5213127,,,1360765023,2013-02-13 14:17:03.000000 UTC,,5211751,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
3700285,,,1331670870,2012-03-13 20:34:30.000000 UTC,,3700264,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
4265557,,,1342699521,2012-07-19 12:05:21.000000 UTC,,4264851,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
8159990,,,1407685927,2014-08-10 15:52:07.000000 UTC,,8158866,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
1226621,,,1269874395,2010-03-29 14:53:15.000000 UTC,,1226614,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
6118743,,,1375057772,2013-07-29 00:29:32.000000 UTC,,6118735,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
9175468,,,1425951604,2015-03-10 01:40:04.000000 UTC,,9175219,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
7582918,,,1397421727,2014-04-13 20:42:07.000000 UTC,,7581667,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
5562970,,,1366179201,2013-04-17 06:13:21.000000 UTC,,5562954,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
4228070,,,1341988725,2012-07-11 06:38:45.000000 UTC,,4227766,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
5237107,,,1361141762,2013-02-17 22:56:02.000000 UTC,,5237040,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
1680975,,,1284178663,2010-09-11 04:17:43.000000 UTC,,1680943,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
2832308,,,1312209161,2011-08-01 14:32:41.000000 UTC,,2832044,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
6545373,,,1381724059,2013-10-14 04:14:19.000000 UTC,,6545351,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
5617921,,,1367074315,2013-04-27 14:51:55.000000 UTC,,5617867,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
7734941,,,1399923434,2014-05-12 19:37:14.000000 UTC,,7734906,true,,0,2022-11-04 23:24:53.000000 UTC,,2022-11-06 03:19:28.000000 UTC
